"date" "demand"
"902" 2017-06-20 38919
"903" 2017-06-21 39686
"904" 2017-06-22 41292
"905" 2017-06-23 47610
"906" 2017-06-24 51073
"907" 2017-06-25 37412
"908" 2017-06-26 34209
"909" 2017-06-27 40504
"910" 2017-06-28 38986
"911" 2017-06-29 42225
"912" 2017-06-30 47732
"913" 2017-07-01 47383
"914" 2017-07-02 39085
"915" 2017-07-03 34984
"916" 2017-07-04 33173
"917" 2017-07-05 36133
"918" 2017-07-06 36680
"919" 2017-07-07 43012
"920" 2017-07-08 47719
"921" 2017-07-09 41617
"922" 2017-07-10 34416
"923" 2017-07-11 36257
"924" 2017-07-12 38332
"925" 2017-07-13 41868
"926" 2017-07-14 45486
"927" 2017-07-15 50664
"928" 2017-07-16 44013
"929" 2017-07-17 35691
"930" 2017-07-18 35654
"931" 2017-07-19 38929
"932" 2017-07-20 41777
"933" 2017-07-21 46427
"934" 2017-07-22 50760
"935" 2017-07-23 40934
"936" 2017-07-24 34369
"937" 2017-07-25 33641
"938" 2017-07-26 36699
"939" 2017-07-27 39935
"940" 2017-07-28 44036
"941" 2017-07-29 48746
"942" 2017-07-30 41263
"943" 2017-07-31 33401
"944" 2017-08-01 36088
"945" 2017-08-02 38156
"946" 2017-08-03 39645
"947" 2017-08-04 44393
"948" 2017-08-05 46857
"949" 2017-08-06 39348
"950" 2017-08-07 34287
"951" 2017-08-08 32921
"952" 2017-08-09 35875
"953" 2017-08-10 38667
"954" 2017-08-11 42397
"955" 2017-08-12 46792
"956" 2017-08-13 39418
"957" 2017-08-14 31302
"958" 2017-08-15 32843
"959" 2017-08-16 35681
"960" 2017-08-17 37034
"961" 2017-08-18 41677
"962" 2017-08-19 47624
"963" 2017-08-20 40585
"964" 2017-08-21 30662
"965" 2017-08-22 33407
"966" 2017-08-23 35750
"967" 2017-08-24 36692
"968" 2017-08-25 40201
"969" 2017-08-26 47650
"970" 2017-08-27 40174
"971" 2017-08-28 30997
"972" 2017-08-29 35891
"973" 2017-08-30 34170
"974" 2017-08-31 37473
"975" 2017-09-01 35069
"976" 2017-09-02 41262
"977" 2017-09-03 34236
"978" 2017-09-04 31519
"979" 2017-09-05 34702
"980" 2017-09-06 39108
"981" 2017-09-07 39702
"982" 2017-09-08 44420
"983" 2017-09-09 50140
"984" 2017-09-10 42282
"985" 2017-09-11 34108
"986" 2017-09-12 35408
"987" 2017-09-13 37274
"988" 2017-09-14 40321
"989" 2017-09-15 44475
"990" 2017-09-16 48147
"991" 2017-09-17 41692
"992" 2017-09-18 35416
"993" 2017-09-19 37813
"994" 2017-09-20 37233
"995" 2017-09-21 37409
"996" 2017-09-22 42797
